Wavelength (nm),Exp.
586.2,0.0110075
586.0,0.0113286
585.8,0.0114769
585.6,0.0117168
585.4,0.0119388
585.2,0.0121506
585.0,0.0123458
584.8,0.0124981
584.6,0.0125387
584.4,0.0127052
584.2,0.0128063
584.0,0.0126314
583.8,0.0129143
583.6,0.0130547
583.4,0.0130105
583.2,0.0130178
583.0,0.0129733
582.8,0.0130489
582.6,0.0128568
582.4,0.0128255
582.2,0.0126405
582.0,0.0124795
581.8,0.0123528
581.6,0.0122526
581.4,0.0122046
581.2,0.0121081
581.0,0.0120065
580.8,0.012014
580.6,0.0122908
580.4,0.012158
580.2,0.012044
580.0,0.0120306
579.8,0.0122352
579.6,0.0123925
579.4,0.0124955
579.2,0.0126274
579.0,0.0126915
578.8,0.0127854
578.6,0.0128006
578.4,0.0127248
578.2,0.0126045
578.0,0.0125425
577.8,0.0124682
577.6,0.012444
577.4,0.012364
577.2,0.0121812
577.0,0.0120513
576.8,0.0120386
576.6,0.0121709
576.4,0.0123323
576.2,0.0123118
576.0,0.0122718
575.8,0.0122774
575.6,0.0122797
575.4,0.0124376
575.2,0.0126442
575.0,0.0130298
574.8,0.0133836
574.6,0.0136385
574.4,0.0137936
574.2,0.0139112
574.0,0.0139916
573.8,0.0141238
573.6,0.0142679
573.4,0.0145489
573.2,0.0146288
573.0,0.0144448
572.8,0.0143969
572.6,0.0143969
572.4,0.0144242
572.2,0.0147017
572.0,0.0148014
571.8,0.0147555
571.6,0.014537
571.4,0.0144504
571.2,0.0144804
571.0,0.0146669
570.8,0.0146977
570.6,0.0147971
570.4,0.0148731
570.2,0.0148549
570.0,0.0147405
569.8,0.0148121
569.6,0.0148607
569.4,0.0149213
569.2,0.0150025
569.0,0.0150872
568.8,0.0148944
568.6,0.0148177
568.4,0.0148335
568.2,0.0149866
568.0,0.0151964
567.8,0.0151957
567.6,0.015086
567.4,0.0151201
567.2,0.0150642
567.0,0.015031
566.8,0.0151786
566.6,0.0152123
566.4,0.0151514
566.2,0.0150765
566.0,0.0151315
565.8,0.0151703
565.6,0.0151335
565.4,0.0151173
565.2,0.0149653
565.0,0.0149142
564.8,0.0147226
564.6,0.0144523
564.4,0.0143201
564.2,0.0141618
564.0,0.0139484
563.8,0.0138467
563.6,0.0137209
563.4,0.0136049
563.2,0.013424
563.0,0.0133092
562.8,0.0133381
562.6,0.013219
562.4,0.0132954
562.2,0.0133175
562.0,0.0132902
561.8,0.0133773
561.6,0.0136373
561.4,0.0140917
561.2,0.0141911
561.0,0.0141752
560.8,0.0142251
560.6,0.0143304
560.4,0.0144266
560.2,0.0145627
560.0,0.0145006
559.8,0.0144792
559.6,0.0144254
559.4,0.0143265
559.2,0.0143502
559.0,0.014127
558.8,0.0139595
558.6,0.0138174
558.4,0.0137331
558.2,0.0134723
558.0,0.0130717
557.8,0.0129993
557.6,0.0129569
557.4,0.0128956
557.2,0.0128584
557.0,0.0129684
556.8,0.0132265
556.6,0.013333
556.4,0.0133682
556.2,0.0134395
556.0,0.0136045
555.8,0.013844
555.6,0.0139579
555.4,0.0140632
555.2,0.0142908
555.0,0.0145331
554.8,0.0147048
554.6,0.0148259
554.4,0.0148885
554.2,0.0148414
554.0,0.014881
553.8,0.0149926
553.6,0.0149755
553.4,0.0147167
553.2,0.0146696
553.0,0.0147143
552.8,0.014805
552.6,0.0148391
552.4,0.0146462
552.2,0.0145909
552.0,0.0145976
551.8,0.0145062
551.6,0.0143554
551.4,0.0144357
551.2,0.0143265
551.0,0.0142624
550.8,0.0143312
550.6,0.0143526
550.4,0.0141772
550.2,0.0139714
550.0,0.0140502
549.8,0.0140723
549.6,0.0140687
549.4,0.0139508
549.2,0.0138468
549.0,0.0138131
548.8,0.0138594
548.6,0.0138317
548.4,0.0138408
548.2,0.0139588
548.0,0.0138535
547.8,0.0138658
547.6,0.0139077
547.4,0.0139904
547.2,0.014239
547.0,0.0145763
546.8,0.0148157
546.6,0.0147547
546.4,0.0147579
546.2,0.0148588
546.0,0.0150409
545.8,0.0151153
545.6,0.0151588
545.4,0.0151604
545.2,0.015219
545.0,0.0153133
544.8,0.0154276
544.6,0.0154474
544.4,0.0156022
544.2,0.015618
544.0,0.0155329
543.8,0.0154886
543.6,0.0153698
543.4,0.0153793
543.2,0.0154707
543.0,0.0156738
542.8,0.015711
542.6,0.0156013
542.4,0.0155606
542.2,0.0155832
542.0,0.0155368
541.8,0.0155032
541.6,0.0154506
541.4,0.0151981
541.2,0.015185
541.0,0.0151098
540.8,0.0151074
540.6,0.0151407
540.4,0.0149519
540.2,0.0148596
540.0,0.01482
539.8,0.0147108
539.6,0.014533
539.4,0.0145339
539.2,0.014666
539.0,0.0146617
538.8,0.0146751
538.6,0.0147523
538.4,0.0147801
538.2,0.0147864
538.0,0.0147789
537.8,0.014752
537.6,0.0148216
537.4,0.0149007
537.2,0.0150325
537.0,0.0151102
536.8,0.0151723
536.6,0.0152305
536.4,0.0152891
536.2,0.0153037
536.0,0.0153429
535.8,0.0153821
535.6,0.0154933
535.4,0.015614
535.2,0.0157055
535.0,0.0157969
534.8,0.0163724
534.6,0.0165624
534.4,0.0166321
534.2,0.0165422
534.0,0.0164769
533.8,0.0163566
533.6,0.0165216
533.4,0.0164936
533.2,0.0164674
533.0,0.0164543
532.8,0.0164429
532.6,0.0162513
532.4,0.0160894
532.2,0.016089
532.0,0.0160055
531.8,0.0158839
531.6,0.0157989
531.4,0.0152684
531.2,0.0150686
531.0,0.0150468
530.8,0.0150769
530.6,0.0150084
530.4,0.0149673
530.2,0.0149364
530.0,0.0149594
529.8,0.0148873
529.6,0.0147959
529.4,0.0147195
529.2,0.0147219
529.0,0.0147757
528.8,0.0147895
528.6,0.014807
528.4,0.0148398
528.2,0.0148406
528.0,0.0148541
527.8,0.0148466
527.6,0.0147817
527.4,0.014744
527.2,0.0148984
527.0,0.0150195
526.8,0.014864
526.6,0.0148457
526.4,0.0148584
526.2,0.0149993
526.0,0.0150528
525.8,0.0151572
525.6,0.0150781
525.4,0.015054
525.2,0.0151133
525.0,0.0151299
524.8,0.0151759
524.6,0.0152147
524.4,0.0153437
524.2,0.0156164
524.0,0.0156433
523.8,0.0155727
523.6,0.0155646
523.4,0.015654
523.2,0.0156982
523.0,0.0157896
522.8,0.0157925
522.6,0.0158456
522.4,0.0157651
522.2,0.0158203
522.0,0.0158108
521.8,0.0157646
521.6,0.0157528
521.4,0.0157351
521.2,0.0156572
521.0,0.0155392
520.8,0.0154406
520.6,0.0155691
520.4,0.0156224
520.2,0.0156643
520.0,0.0157199
519.8,0.0156665
519.6,0.0156386
519.4,0.0156247
519.2,0.0156198
519.0,0.0156659
518.8,0.0156385
518.6,0.015524
518.4,0.0153741
518.2,0.0152837
518.0,0.0152645
517.8,0.0153255
517.6,0.0153439
517.4,0.0151209
517.2,0.0149645
517.0,0.0149362
516.8,0.0148907
516.6,0.0147321
516.4,0.014691
516.2,0.0147027
516.0,0.0146451
515.8,0.0145633
515.6,0.0145116
515.4,0.0146285
515.2,0.014728
515.0,0.0148363
514.8,0.0149427
514.6,0.0150279
514.4,0.0151205
514.2,0.0152103
514.0,0.0153381
513.8,0.0153651
513.6,0.0153902
513.4,0.0154967
513.2,0.0156459
513.0,0.0157561
512.8,0.0157236
512.6,0.0156263
512.4,0.0157149
512.2,0.0159406
512.0,0.0160852
511.8,0.0161242
511.6,0.0160728
511.4,0.0159303
511.2,0.0158647
511.0,0.015848
510.8,0.0158458
510.6,0.0158157
510.4,0.0157793
510.2,0.0155909
510.0,0.0154177
509.8,0.0153096
509.6,0.0152649
509.4,0.0153942
509.2,0.0154225
509.0,0.0153303
508.8,0.0151843
508.6,0.0152289
508.4,0.015484
508.2,0.0155817
508.0,0.0156966
507.8,0.0156568
507.6,0.0155341
507.4,0.0155002
507.2,0.015521
507.0,0.0155883
506.8,0.0157576
506.6,0.0159708
506.4,0.0160494
506.2,0.016075
506.0,0.0160708
505.8,0.0162827
505.6,0.0164545
505.4,0.0166503
505.2,0.0165101
505.0,0.0162721
504.8,0.0162978
504.6,0.0163394
504.4,0.0164657
504.2,0.0165794
504.0,0.0166764
503.8,0.0169206
503.6,0.0170388
503.4,0.0170524
503.2,0.0169485
503.0,0.0169503
502.8,0.0170022
502.6,0.0168971
502.4,0.0166972
502.2,0.016629
502.0,0.01656
501.8,0.0166703
501.6,0.0167458
501.4,0.0168573
501.2,0.0167898
501.0,0.0167692
500.8,0.0168723
500.6,0.0170271
500.4,0.0169151
500.2,0.0167611
500.0,0.016634
499.8,0.0164801
499.6,0.0163841
499.4,0.0163843
499.2,0.0164884
499.0,0.0164486
498.8,0.0162936
498.6,0.016035
498.4,0.0157312
498.2,0.0156109
498.0,0.0154411
497.8,0.0153362
497.6,0.0151116
497.4,0.0147496
497.2,0.0143126
497.0,0.0140225
496.8,0.0137774
496.6,0.0135018
496.4,0.0132283
496.2,0.0129187
496.0,0.0124964
495.8,0.0119985
495.6,0.0116769
495.4,0.0114103
495.2,0.0111505
495.0,0.0108879
494.8,0.0105096
494.6,0.0101556
494.4,0.0100191
494.2,0.0100127
494.0,0.0101576
493.8,0.010399
493.6,0.0107038
493.4,0.0111645
493.2,0.0117928
493.0,0.0125887
492.8,0.0134165
492.6,0.0142164
492.4,0.0152816
492.2,0.0163518
492.0,0.0172741
491.8,0.0181801
491.6,0.0190992
491.4,0.0200312
491.2,0.0208579
491.0,0.0215275
490.8,0.0220383
490.6,0.0225292
490.4,0.0228637
490.2,0.0229471
490.0,0.0229243
489.8,0.0228041
489.6,0.022594
489.4,0.0224026
489.2,0.022099
489.0,0.0214809
488.8,0.0208091
488.6,0.0203577
488.4,0.0198287
488.2,0.0191866
488.0,0.0185509
487.8,0.0179757
487.6,0.0173995
487.4,0.0168569
487.2,0.0161799
487.0,0.0155754
486.8,0.0151179
486.6,0.0146445
486.4,0.0141883
486.2,0.0137237
486.0,0.0131679
485.8,0.0128133
485.6,0.0125211
485.4,0.0122125
485.2,0.0118611
485.0,0.0116147
484.8,0.0114841
484.6,0.0113187
484.4,0.0111146
484.2,0.0110213
484.0,0.011066
483.8,0.0112235
483.6,0.0113949
483.4,0.0116438
483.2,0.0119134
483.0,0.0122455
482.8,0.0126688
482.6,0.0131887
482.4,0.0136508
482.2,0.0142137
482.0,0.0148701
481.8,0.0155723
481.6,0.0162897
481.4,0.0169584
481.2,0.0176978
481.0,0.0184023
480.8,0.0190182
480.6,0.0195159
480.4,0.0199335
480.2,0.0203193
480.0,0.0206715
479.8,0.0209243
479.6,0.0210705
479.4,0.0209512
479.2,0.0207301
479.0,0.0204986
478.8,0.020327
478.6,0.0199986
478.4,0.019657
478.2,0.0194285
478.0,0.0190606
477.8,0.018571
477.6,0.0181652
477.4,0.0175062
477.2,0.0167603
477.0,0.015904
476.8,0.0150039
476.6,0.0140684
476.4,0.0132433
476.2,0.0124481
476.0,0.012001
475.8,0.0115389
475.6,0.0110964
475.4,0.0107655
475.2,0.010647
475.0,0.0105045
474.8,0.0104128
474.6,0.0106462
474.4,0.0110163
474.2,0.0114458
474.0,0.0122278
473.8,0.0131544
473.6,0.0141513
473.4,0.0151015
473.2,0.0159156
473.0,0.0166849
472.8,0.0174375
472.6,0.0178719
472.4,0.018156
472.2,0.0182426
472.0,0.0180983
471.8,0.0178446
471.6,0.0174963
471.4,0.0168549
471.2,0.0159823
471.0,0.0152712
470.8,0.0144849
470.6,0.0134982
470.4,0.0125475
470.2,0.0117739
470.0,0.0112134
469.8,0.0109339
469.6,0.0107724
469.4,0.0108906
469.2,0.0112706
469.0,0.0120143
468.8,0.0132116
468.6,0.0145331
468.4,0.0159855
468.2,0.017579
468.0,0.0193177
467.8,0.0211287
467.6,0.0227743
467.4,0.0243308
467.2,0.0260346
467.0,0.0275428
466.8,0.0288661
466.6,0.029907
466.4,0.0307141
466.2,0.0313545
466.0,0.0315819
465.8,0.0315655
465.6,0.0312908
465.4,0.0307422
465.2,0.0301752
465.0,0.0294552
464.8,0.0287629
464.6,0.0280339
464.4,0.0273685
464.2,0.0268529
464.0,0.0265549
463.8,0.026372
463.6,0.0264269
463.4,0.0266355
463.2,0.0270326
463.0,0.0276056
462.8,0.0283764
462.6,0.029435
462.4,0.0305815
462.2,0.0317179
462.0,0.0328244
461.8,0.0337996
461.6,0.0348417
461.4,0.0359234
461.2,0.036737
461.0,0.0374605
460.8,0.0380545
460.6,0.0384299
460.4,0.0386925
460.2,0.0389417
460.0,0.0392444
459.8,0.0395952
459.6,0.0398724
459.4,0.040104
459.2,0.0403112
459.0,0.0407444
458.8,0.0413738
458.6,0.0420581
458.4,0.0428264
458.2,0.0435583
458.0,0.0441017
457.8,0.0449824
457.6,0.0459222
457.4,0.0469777
457.2,0.0481277
457.0,0.0492134
456.8,0.0502579
456.6,0.0512432
456.4,0.0522603
456.2,0.0532636
456.0,0.0542323
455.8,0.0552115
455.6,0.0560365
455.4,0.056742
455.2,0.0574834
455.0,0.0583322
454.8,0.0592366
454.6,0.0603051
454.4,0.0613086
454.2,0.0622903
454.0,0.0631844
453.8,0.0641666
453.6,0.0653188
453.4,0.0665866
453.2,0.0678595
453.0,0.0691707
452.8,0.0705192
452.6,0.0719725
452.4,0.0735399
452.2,0.0752866
452.0,0.0771606
451.8,0.0792541
451.6,0.0813461
451.4,0.0834946
451.2,0.0857005
451.0,0.088044
450.8,0.0906291
450.6,0.0933511
450.4,0.0958594
450.2,0.0983223
450.0,0.100843
449.8,0.103483
449.6,0.106017
449.4,0.108426
449.2,0.110781
449.0,0.11298
448.8,0.11505
448.6,0.117096
448.4,0.119107
448.2,0.121184
448.0,0.123239
447.8,0.12516
447.6,0.126999
447.4,0.128692
447.2,0.130341
447.0,0.132231
446.8,0.134245
446.6,0.136162
446.4,0.138002
446.2,0.139892
446.0,0.14199
445.8,0.144219
445.6,0.14662
445.4,0.149059
445.2,0.151443
445.0,0.153747
444.8,0.15608
444.6,0.158465
444.4,0.160954
444.2,0.163485
444.0,0.166075
443.8,0.168681
443.6,0.17144
443.4,0.174156
443.2,0.176904
443.0,0.179753
442.8,0.182632
442.6,0.185494
442.4,0.188321
442.2,0.191171
442.0,0.19406
441.8,0.196979
441.6,0.200025
441.4,0.203059
441.2,0.206098
441.0,0.209193
440.8,0.212298
440.6,0.21543
440.4,0.218669
440.2,0.221803
440.0,0.224881
439.8,0.228019
439.6,0.231172
439.4,0.234454
439.2,0.237871
439.0,0.241388
438.8,0.244832
438.6,0.248284
438.4,0.251807
438.2,0.255376
438.0,0.259002
437.8,0.262665
437.6,0.266325
