Wavelength (nm),Exp.
650.0,0.05169176559581332
649.8,0.05267996356731556
649.6,0.052996433919446716
649.4,0.052808674375164025
649.2,0.05196095836485172
649.0,0.05043379594609197
648.8,0.048946385291075534
648.6,0.04865596585207712
648.4,0.04895680565632863
648.2,0.04911735646911713
648.0,0.04932209734936783
647.8,0.049476859070349044
647.6,0.049536486715963994
647.4,0.0496032542414746
647.2,0.04946489494728067
647.0,0.049423213486268276
646.8,0.04862335396822946
646.6,0.04669655124504068
646.4,0.04627471942201707
646.2,0.046254843540145425
646.0,0.04662708214335335
645.8,0.04765387406023743
645.6,0.04701745990089075
645.4,0.04807146054926903
645.2,0.04853748243975485
645.0,0.048462996125167884
644.8,0.047440642512002716
644.6,0.046928886796239404
644.4,0.04601054386587832
644.2,0.045643322475570035
644.0,0.04488147799373234
643.8,0.045030064683452456
643.6,0.04462695092393905
643.4,0.044761257853867885
643.2,0.04620814486623338
643.0,0.046055891751701994
642.8,0.04609101224199947
642.6,0.04580696080398907
642.4,0.04520778980193587
642.2,0.04702614353860166
642.0,0.04713999567747812
641.8,0.04664850178304028
641.6,0.04630540160859564
641.4,0.047065895302344965
641.2,0.04696593698380598
641.0,0.047331807586025905
640.8,0.046615696929465704
640.6,0.04699391759420782
640.4,0.0467513546474829
640.2,0.0468806443645121
640.0,0.04689299442703429
639.8,0.047079596152955525
639.6,0.04667397378699229
639.4,0.04636001204131096
639.2,0.04613597418836933
639.0,0.04614311406826497
638.8,0.04638548404526298
638.6,0.04638644889389752
638.4,0.04663248529570681
638.2,0.046460549269030677
638.0,0.04639108016734334
637.8,0.04660489062475879
637.6,0.04642620065764083
637.4,0.04615970946477917
637.2,0.04559951834756163
637.0,0.0454420550504037
636.8,0.04554896027911141
636.6,0.04521801719746206
636.4,0.04521550859101224
636.2,0.04582818747394909
636.0,0.04638760671225898
635.8,0.047102173611003904
635.6,0.047333930253021905
635.4,0.04753153125337697
635.2,0.04791071676675363
635.0,0.048507765101810825
634.8,0.04943768621578647
634.6,0.05006503079796841
634.4,0.05038767618136067
634.2,0.05044749679670253
634.0,0.0509918643963135
633.8,0.05147872701730552
633.6,0.05110494465628232
633.4,0.049296432375688905
633.2,0.049781558269138736
633.0,0.04969780940766013
632.8,0.04909574385970329
632.6,0.048258062275190264
632.4,0.04799793908331661
632.2,0.04805698781975084
632.0,0.047799952143507726
631.8,0.047323123948314984
631.6,0.04685922472482517
631.4,0.046345732281519676
631.2,0.04594300446146009
631.0,0.045816609290334535
630.8,0.0441727001867947
630.6,0.043757429334486
630.4,0.04387726353489664
630.2,0.04469931457153002
630.0,0.04661550395973879
629.8,0.04600070240980595
629.6,0.04592988252003025
629.4,0.04587353535977275
629.2,0.04634901276687713
629.0,0.046148517220618426
628.8,0.04581062722880034
628.6,0.04572784321595628
628.4,0.04562923568550566
628.2,0.04535618352192908
628.0,0.044902511693965454
627.8,0.044399439615913056
627.6,0.04392936536116214
627.4,0.04531237939392068
627.2,0.046000123500625226
627.0,0.04600610556215941
626.8,0.04568963521002825
626.6,0.04540133843802584
626.4,0.046072873087670004
626.2,0.0461896197724501
626.0,0.046454953146950306
625.8,0.046556455223304566
625.6,0.046590996804421324
625.4,0.04676563440727419
625.2,0.04665216820785155
625.0,0.046956674436914335
624.8,0.04759328156598793
624.6,0.04841050835944857
624.4,0.04930376522531145
624.2,0.04999729842382327
624.0,0.050540701174799696
623.8,0.05098935578986368
623.6,0.051580036123932874
623.4,0.05221355573737592
623.2,0.05273534587893851
623.0,0.05301341525541473
622.8,0.05305799126233076
622.6,0.053152160489062475
622.4,0.05254855118329036
622.2,0.05157984315420597
622.0,0.051871999320746556
621.8,0.05206979329082854
