Wavelength (nm),SMM,FGR
200.0,0.5949123642387855,0.1683398146027339
201.0,0.5720335420541682,0.1813490595627837
202.0,0.5449316682928238,0.19557817708912578
203.0,0.5159236640229334,0.2111005230840471
204.0,0.4876634566018461,0.22797646607677133
205.0,0.4629968528180507,0.24624644649321506
206.0,0.4447084850177667,0.2659232237511463
207.0,0.43518766000833875,0.2869847835696411
208.0,0.43608657810406454,0.3093683570198133
209.0,0.44806791989890243,0.3329638424249759
210.0,0.4707213837934576,0.35760430796523024
211.0,0.5026780025575899,0.38305437522560404
212.0,0.5418887082206122,0.4090022339346915
213.0,0.5859826882227639,0.43506214582215574
214.0,0.632602911089154,0.46078800288427746
214.99999999999997,0.6796402924620796,0.4856891914324224
216.0,0.7253407620681078,0.5092378791957102
217.0,0.7683118880360837,0.5308674226865838
218.0,0.8074825367618498,0.5499771288886512
219.0,0.8420621928694296,0.5659627695316035
220.0,0.8715169143372746,0.578276501693756
221.0,0.8955491648014082,0.5864950260092476
222.0,0.9140595589701935,0.5903636313381382
223.0,0.9270841806951602,0.5897991630569279
224.0,0.9347260059689119,0.5848654559440122
225.0,0.9371101707361043,0.5757535022382341
226.0,0.9343797520883951,0.5627884696935389
227.00000000000003,0.9267219756953589,0.5464557175250534
228.0,0.9143960524715904,0.5274147434774334
229.0,0.8977371495150743,0.5064728808615744
230.00000000000003,0.8771319284825525,0.48451526042165505
231.0,0.8529824368700919,0.46241288817925974
232.0,0.8256820522186897,0.44093927699608404
233.0,0.7956180687211185,0.42071694881786253
234.0,0.7632001059144384,0.4021991090164639
235.0,0.7289023807975914,0.38567948768364724
236.0,0.6933048035868025,0.3713185934486102
236.99999999999997,0.6571203631287872,0.35917569972370855
238.0,0.6212004439651063,0.3492393942908361
239.0,0.5865136595428424,0.34145301088717117
239.99999999999997,0.5540979503324824,0.3357337415135616
241.0,0.5249912767601361,0.3319856958063778
242.0,0.5001530512763702,0.33010796316535107
243.0,0.480393606610287,0.32999910702991214
243.99999999999997,0.46632788733337044,0.3315595493810471
245.0,0.45835982760783506,0.3346929646551699
246.00000000000003,0.4566895786218545,0.3393071544496416
247.00000000000003,0.46132636757729695,0.3453141592422791
247.99999999999997,0.4720927696166044,0.35262895764198743
249.00000000000003,0.4886195554750968,0.36116632644690705
249.99999999999997,0.5103435615131179,0.37083629026132525
251.0,0.5365242916547563,0.3815396307234093
252.0,0.566286789848154,0.3931654328615658
253.0,0.5986855090982843,0.4055920840905425
254.0,0.6327748097568056,0.4186915707013057
255.0,0.6676703632570599,0.43233505432759806
256.0,0.7025908260315571,0.44639661031604866
257.0,0.7368767962701247,0.46075252517108645
258.0,0.769990728509465,0.4752757746007207
259.0,0.8015052291076276,0.4898282784259185
260.0,0.831087613459633,0.5042555875616186
261.0,0.8584864791134341,0.5183884030917602
262.0,0.8835226383309168,0.5320525845606728
263.0,0.9060834580540635,0.5450853086769072
264.0,0.9261175581775872,0.5573517535943356
265.0,0.9436264922571913,0.5687558068293854
266.0,0.9586514972656447,0.5792404811233288
267.0,0.9712560824604881,0.5887782009661274
268.0,0.9815080132786903,0.5973558572510641
269.0,0.989465801860433,0.6049620982654641
270.0,0.9951742195614822,0.6115832646908413
271.0,0.9986706174467247,0.6172100998663902
272.0,1.0,0.6218519584491276
273.0,0.9992334452539604,0.625551262222338
274.0,0.996483092714668,0.6283901661845156
275.0,0.9919082210718225,0.6304840741748597
276.0,0.9857104083052511,0.6319616452600333
277.0,0.9781198957915809,0.6329362885105192
278.0,0.969378290879683,0.6334778500275954
279.0,0.9597234564539603,0.6335939665627884
280.0,0.9493807080416629,0.6332282095890018
281.0,0.938561085503216,0.6322774666363288
282.0,0.9274638915958398,0.6306253859025983
283.0,0.9162784152446194,0.6281837743165843
284.0,0.9051798672219461,0.6249311761925417
285.0,0.8943171561281787,0.6209385516918591
286.0,0.8837941553997654,0.6163759742776783
287.0,0.8736497424703649,0.6115001080926777
288.0,0.8638434706134206,0.606627570025945
289.0,0.8542526120159193,0.6021021225566067
289.99999999999994,0.8446831284552148,0.598263344053106
291.0,0.8348933842279971,0.5954218353236878
292.0,0.8246266160548438,0.593842747350364
293.0,0.8136470646192402,0.5937368570570987
294.0,0.801775038084054,0.5952572214865981
295.0,0.7889172332783048,0.5984994908414941
296.0,0.775089656553476,0.6035047132036053
297.0,0.7604311905388509,0.6102643159025157
298.0,0.7452063940490072,0.618727467107607
299.0,0.7297967745410305,0.6288110025538122
300.0,0.7146806810265969,0.6404115461191886
301.0,0.7004030872468089,0.6534185346936986
302.0,0.6875377150459797,0.667725914500166
303.0,0.6766449991907333,0.6832397503609898
304.0,0.6682301264842255,0.6998792783788801
305.0,0.6627056091511042,0.7175701778197221
306.0,0.6603624376474594,0.736230791053109
307.0,0.6613527825510529,0.7557541064096793
307.99999999999994,0.6656856305435818,0.7759898835574655
309.0,0.6732349494600415,0.7967318751958075
310.0,0.6837583466305649,0.8177145120463242
311.0,0.6969230203141158,0.8386217445254334
312.0,0.7123352692283904,0.8591082005060817
313.0,0.7295699183332461,0.8788298003411273
314.0,0.7481966090694872,0.897478070181697
315.0,0.7678007920476911,0.9148104453755321
316.0,0.787998251051439,0.930668702432456
317.0,0.8084429275208607,0.9449797419035584
318.0,0.8288286189159826,0.9577369371306359
319.0,0.8488857568085532,0.9689650590406594
320.0,0.8683749070794948,0.9786759403171615
321.0,0.8870788353488461,0.9868244036353839
322.0,0.9047949012045625,0.9932741118499548
323.0,0.9213291804185559,0.9977811576679239
324.0,0.9364931419007697,1.0
325.0,0.9501030815955358,0.9995123864227596
326.0,0.9619820183458734,0.9958756973966149
327.0,0.9719635085743482,0.9886832662495645
328.0,0.9798968415288503,0.9776264057850182
329.0,0.985653219872734,0.9625469443224332
330.0,0.9891326380279254,0.9434706233692084
331.0,0.9902711023552264,0.9206156285450907
332.0,0.9890475619730789,0.8943758367492863
333.0,0.9854895403302542,0.8652835065073813
334.0,0.9796761753767557,0.8339596250885718
335.0,0.9717373992865695,0.8010611648840766
336.0,0.9618484339267499,0.7672332430314189
