Wavelength (nm),Calc.
200.0,0.1673926959416875
201.0,0.18028543583206413
202.0,0.1943856843170028
203.0,0.2097660678037313
204.0,0.22648638268558344
205.0,0.2445867346803351
206.0,0.2640798753649032
207.0,0.28494419153159184
208.0,0.30711779376475307
209.0,0.33049201483989965
210.0,0.3549020222853806
211.0,0.380115336252173
212.0,0.4058239374397791
213.0,0.4316467448887406
214.0,0.45714302252462846
214.99999999999997,0.4818280655675888
216.0,0.5051804081425652
217.0,0.5266402528017726
218.0,0.5456141824728563
219.0,0.5615053321016275
220.0,0.5737726321569265
221.0,0.5819981965715477
222.0,0.5859308727015097
223.0,0.5854891838125561
224.0,0.5807370507837246
225.0,0.5718641958446721
226.0,0.559193091077358
227.00000000000003,0.5432046888836216
228.0,0.5245522213629498
229.0,0.5040352080793685
230.00000000000003,0.4825302260211768
231.0,0.46090004279114244
232.0,0.43991120244635945
233.0,0.4201811362403453
234.0,0.4021600373492551
235.0,0.38614057266989954
236.0,0.372283810793316
236.99999999999997,0.3606508097885676
238.0,0.35123278328369884
239.0,0.3439762158672981
239.99999999999997,0.3388017534016241
241.0,0.33561714111785057
242.0,0.3343252473808035
243.0,0.3348285521566462
243.99999999999997,0.3370314766345797
245.0,0.34084158704258133
246.00000000000003,0.34617010828822475
247.00000000000003,0.3529315749923358
247.99999999999997,0.3610421565520773
249.00000000000003,0.37041645022418485
249.99999999999997,0.38096327512651734
251.0,0.3925817838946624
252.0,0.40515943504955093
253.0,0.4185726913123889
254.0,0.43268995423437234
255.0,0.4473749432773295
256.0,0.46248830030318294
257.0,0.4778860884200252
258.0,0.4934157874071075
259.0,0.5089123555412813
260.0,0.5241976245452149
261.0,0.5390849909708865
262.0,0.5533886075068327
263.0,0.5669336910185866
264.0,0.5795638020338786
265.0,0.5911425943977097
266.0,0.6015507816527806
267.0,0.610682209328313
268.0,0.6184441323993503
269.0,0.6247649652861421
270.0,0.6296082939284817
271.0,0.6329869828911991
272.0,0.6349688138198574
273.0,0.6356672663562306
274.0,0.6352172118364926
275.0,0.6337424047454797
276.0,0.6313261356893561
277.0,0.6279961904915486
278.0,0.623730614894298
279.0,0.6184837085915881
280.0,0.612224788623108
281.0,0.6049779598846727
282.0,0.5968509215846922
283.0,0.5880447700001292
284.0,0.5788431962158419
285.0,0.5695857474851667
286.0,0.5606335554651313
287.0,0.5523362396686948
288.0,0.5450063135247947
289.0,0.5389039463045934
289.99999999999994,0.5342318092095646
291.0,0.5311377049949927
292.0,0.5297218301232234
293.0,0.5300455839793708
294.0,0.5321394982634686
295.0,0.5360088431107574
296.0,0.5416365507739953
297.0,0.54898407270962
298.0,0.5579914650859926
299.0,0.5685782533612685
300.0,0.5806464100378257
301.0,0.5940861183604026
302.0,0.6087839941708388
303.0,0.6246323076492946
304.0,0.6415368150289431
305.0,0.6594204670641843
306.0,0.6782207977110304
307.0,0.6978802205219954
307.99999999999994,0.7183304188038244
309.0,0.7394739157159563
310.0,0.7611671715753392
311.0,0.7832098223056362
312.0,0.8053438648179114
313.0,0.8272648250945672
314.0,0.8486444439937386
315.0,0.8691615595765381
316.0,0.8885352513629514
