Angle (deg)
-21.0
-18.9
-16.8
-14.7
-12.6
-10.5
-8.399999999999999
-6.3
-4.199999999999999
-2.099999999999998
0.0
2.1000000000000014
4.200000000000003
6.300000000000001
8.400000000000002
10.5
12.600000000000001
14.700000000000005
16.800000000000004
18.9
21.0
