Wavelength,Intensity L
484.58221,36150
484.89859,36262
485.21494,36477
485.53128,36577
485.84763,36768
486.16397,37020
486.48032,38220
486.79663,37157
487.11298,37052
487.42932,37182
487.74564,37323
488.06198,37369
488.3783,37387
488.69464,37533
489.01096,37572
489.32727,37458
489.64359,37566
489.9599,37455
490.27621,37708
490.59253,37737
490.90884,37546
491.22516,37476
491.54147,37531
491.85776,37585
492.17407,37536
492.49036,37466
492.80667,37365
493.12296,37324
493.43927,37360
493.75555,37191
494.07184,37144
494.38812,37154
494.70441,36984
495.02069,36888
495.33698,36759
495.65326,36648
495.96954,36590
496.2858,36533
496.60208,36596
496.91833,36311
497.23462,36288
497.55087,36123
497.86716,36147
498.18341,35810
498.49966,35898
498.81592,35851
499.13217,35725
499.44843,35548
499.76468,35413
500.08093,35335
500.39719,35348
500.71341,35203
501.02966,35126
501.34592,34936
501.66214,34917
501.97836,34920
502.29462,34676
502.61084,34636
502.92706,34544
503.24329,34317
503.55951,34332
503.87573,34154
504.19196,34154
504.50818,34073
504.8244,34101
505.14059,33945
505.45682,33912
505.77301,33781
506.08923,33768
506.40543,33660
506.72165,33492
507.03784,33529
507.35403,33325
507.67023,33444
507.98642,33309
508.30261,33403
508.6188,33255
508.935,33075
509.25116,33138
509.56735,33159
509.88351,33047
510.19971,32961
510.51587,32996
510.83206,32992
511.14822,32903
511.46439,32855
511.78055,32827
512.09674,32794
512.4129,32652
512.72906,32677
513.04517,32622
513.36133,32643
513.67749,32648
513.99365,32606
514.30981,32540
514.62592,32451
514.94208,32634
515.25824,32602
515.57434,32619
515.8905,32648
516.2066,32587
516.52277,32570
516.83887,32681
517.15503,32570
517.47113,32582
517.78729,32731
518.10339,32532
518.41949,32718
518.7356,32732
519.0517,32790
519.36786,32882
519.68396,32955
520.00006,32727
